"id","season","city","match_type","team1","team2","toss_winner","toss_decision","venue","team1_win_pct","team2_win_pct","venue_avg_score","winner"
548306,"2012","Chennai","League","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","MA Chidambaram Stadium",58.23,55.17,164,"Mumbai Indians"
548307,"2012","Kolkata","League","Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","field","Eden Gardens",52.19,46.00,166,"Delhi Capitals"
548308,"2012","Mumbai","League","Mumbai Indians","Pune Warriors","Mumbai Indians","field","Wankhede Stadium",55.17,26.67,170,"Pune Warriors"
548309,"2012","Jaipur","League","Rajasthan Royals","Punjab Kings","Punjab Kings","field","Sawai Mansingh Stadium",51.14,45.53,162,"Rajasthan Royals"
548310,"2012","Bangalore","League","Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","field","M Chinnaswamy Stadium",48.81,46.00,173,"Royal Challengers Bengaluru"
548311,"2012","Visakhapatnam","League","Deccan Chargers","Chennai Super Kings","Deccan Chargers","field","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",38.67,58.23,167,"Chennai Super Kings"
548312,"2012","Jaipur","League","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Sawai Mansingh Stadium",51.14,52.19,162,"Rajasthan Royals"
548313,"2012","Pune","League","Pune Warriors","Punjab Kings","Pune Warriors","bat","Subrata Roy Sahara Stadium",26.67,45.53,149,"Pune Warriors"
548314,"2012","Visakhapatnam","League","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",38.67,55.17,167,"Mumbai Indians"
548315,"2012","Bangalore","League","Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,52.19,173,"Kolkata Knight Riders"
548316,"2012","Delhi","League","Delhi Capitals","Chennai Super Kings","Delhi Capitals","field","Feroz Shah Kotla",46.00,58.23,162,"Delhi Capitals"
548317,"2012","Mumbai","League","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","Wankhede Stadium",55.17,51.14,170,"Mumbai Indians"
548318,"2012","Chennai","League","Chennai Super Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","bat","MA Chidambaram Stadium",58.23,48.81,164,"Chennai Super Kings"
548319,"2012","Chandigarh","League","Punjab Kings","Pune Warriors","Punjab Kings","field","Punjab Cricket Association IS Bindra Stadium",45.53,26.67,168,"Punjab Kings"
548320,"2012","Kolkata","League","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","bat","Eden Gardens",52.19,51.14,166,"Kolkata Knight Riders"
548321,"2012","Delhi","League","Delhi Capitals","Deccan Chargers","Deccan Chargers","bat","Feroz Shah Kotla",46.00,38.67,162,"Delhi Capitals"
548322,"2012","Pune","League","Pune Warriors","Chennai Super Kings","Chennai Super Kings","bat","Subrata Roy Sahara Stadium",26.67,58.23,149,"Pune Warriors"
548323,"2012","Kolkata","League","Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","field","Eden Gardens",52.19,45.53,166,"Punjab Kings"
548324,"2012","Bangalore","League","Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","bat","M Chinnaswamy Stadium",48.81,51.14,173,"Rajasthan Royals"
548325,"2012","Mumbai","League","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","Wankhede Stadium",55.17,46.00,170,"Delhi Capitals"
548326,"2012","Jaipur","League","Rajasthan Royals","Deccan Chargers","Deccan Chargers","bat","Sawai Mansingh Stadium",51.14,38.67,162,"Rajasthan Royals"
548327,"2012","Bangalore","League","Royal Challengers Bengaluru","Pune Warriors","Pune Warriors","bat","M Chinnaswamy Stadium",48.81,26.67,173,"Royal Challengers Bengaluru"
548328,"2012","Chandigarh","League","Punjab Kings","Kolkata Knight Riders","Punjab Kings","bat","Punjab Cricket Association IS Bindra Stadium",45.53,52.19,168,"Kolkata Knight Riders"
548329,"2012","Hyderabad","League","Deccan Chargers","Delhi Capitals","Deccan Chargers","bat","Rajiv Gandhi International Stadium",38.67,46.00,163,"Delhi Capitals"
548330,"2012","Chennai","League","Chennai Super Kings","Pune Warriors","Pune Warriors","field","MA Chidambaram Stadium",58.23,26.67,164,"Chennai Super Kings"
548331,"2012","Chandigarh","League","Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Punjab Cricket Association IS Bindra Stadium",45.53,48.81,168,"Royal Challengers Bengaluru"
548332,"2012","Chennai","League","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","MA Chidambaram Stadium",58.23,51.14,164,"Chennai Super Kings"
548333,"2012","Delhi","League","Delhi Capitals","Pune Warriors","Delhi Capitals","field","Feroz Shah Kotla",46.00,26.67,162,"Pune Warriors"
548334,"2012","Mumbai","League","Mumbai Indians","Punjab Kings","Mumbai Indians","bat","Wankhede Stadium",55.17,45.53,170,"Punjab Kings"
548335,"2012","Cuttack","League","Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","field","Barabati Stadium",38.67,52.19,168,"Kolkata Knight Riders"
